video_id,category,subcategory,watched_on,channel,duration
kI3_c02SA6A,Education,exam_prep,2022-06-14T19:17:58.785Z,Eyüp B. Matematik Geometri,0.16694444444444445
SIFhOTTXfmU,Education,exam_prep,2021-06-11T17:05:37.695Z,Eyüp B. Matematik Geometri,0.28194444444444444
AvzWi16gk_A,Education,exam_prep,2022-02-12T19:59:30.337Z,Eyüp B. Matematik Geometri,0.02722222222222222
dtGRj5wBZ00,Education,exam_prep,2022-06-14T19:13:41.524Z,Eyüp B. Matematik Geometri,0.18555555555555556
laBhkY8V3kw,Education,exam_prep,2022-06-14T19:04:12.871Z,Eyüp B. Matematik Geometri,0.12611111111111112
R6N_69UzWp4,Education,other_education,2022-06-14T18:57:28.632Z,Eyüp B. Matematik Geometri,0.21
P_AXMFhm30o,Education,exam_prep,2022-06-14T18:54:00.041Z,Eyüp B. Matematik Geometri,0.07861111111111112
af9Dd-8P4NA,Education,exam_prep,2022-06-13T20:10:14.629Z,Eyüp B. Matematik Geometri,0.09055555555555556
7f41NAVqSCs,Education,exam_prep,2022-06-05T21:03:45.517Z,kimyabilen,2.7475
j_5KjN1HAyA,Gaming,other_gaming,2022-06-14T18:17:11.725Z,Markoni,0.004166666666666667
MUyNOeadEGk,Music,other,2022-06-14T17:40:46.503Z,Rock N' Roll True Stories,0.10333333333333333
4VNS07N4mpw,Education,exam_prep,2022-06-14T12:21:25.105Z,VIP FİZİK,1.0569444444444445
_s0qK0c-SRQ,Education,exam_prep,2022-05-10T16:19:17.701Z,VIP FİZİK,1.2886111111111112
2tyLnooOocQ,Education,exam_prep,2022-06-14T12:19:35.771Z,Özcan Aykın FİZİK,0.3169444444444444
JhIn9_HbMmE,Education,exam_prep,2022-05-15T21:07:36.392Z,Özcan Aykın FİZİK,0.4880555555555556
_AChhovUe5g,Education,exam_prep,2022-05-15T20:45:37.095Z,Özcan Aykın FİZİK,0.46694444444444444
Zd5OzHh8uYs,Education,exam_prep,2022-06-11T18:32:21.888Z,Ertan Sinan Şahin,1.498888888888889
b41zt-pePBk,Education,exam_prep,2022-06-11T18:42:18.306Z,Ertan Sinan Şahin,1.736388888888889
k642YfS4VkQ,Education,exam_prep,2021-06-26T17:45:34.479Z,VIP FİZİK,1.035
KySmFrgV4Vc,Education,exam_prep,2022-04-07T10:12:34.898Z,VIP FİZİK,0.22527777777777777
OJXLEwJjdZU,Gaming,streaming,2020-06-11T07:44:27.117Z,Dost Kayaoğlu,1.0180555555555555
5sV4DYDfoHY,Gaming,streaming,2022-06-14T08:58:35.985Z,Dost Kayaoğlu,0.45
iiZ_b31bhWI,Gaming,streaming,2022-04-06T05:35:02.026Z,Dost Kayaoğlu,0.36444444444444446
jc8JU1TJuhc,Gaming,streaming,2021-03-07T03:33:26.906Z,Dost Kayaoğlu,0.2025
KnsNIEaPZco,Entertainment,comedy,2022-06-14T05:58:31.964Z,TommyKayVIBE,0.2713888888888889
S6oAF4LUmR8,Entertainment,comedy,2022-06-14T05:56:37.245Z,TommyKayClips,0.015277777777777777
evVhCri5gK8,Entertainment,comedy,2022-06-14T05:55:04.830Z,TommyKayClips,0.008888888888888889
ILkqkgf8IFU,Entertainment,comedy,2022-06-14T05:53:58.802Z,TommyKayClips,0.016944444444444446
E8MiIbw3lnc,Entertainment,other_entertainment,2022-06-13T20:12:05.456Z,TwitchTR53,0.008888888888888889
SuqwTvwlZSU,Education,exam_prep,2022-06-13T20:04:28.377Z,Eyüp B. Matematik Geometri,0.15222222222222223
MpKoxMBlheQ,Education,exam_prep,2022-06-13T19:56:59.907Z,Eyüp B. Matematik Geometri,0.19527777777777777
uw0g0hh13Bc,Education,exam_prep,2022-06-13T19:48:02.407Z,Eyüp B. Matematik Geometri,0.23083333333333333
